file	level	offset	interval	frame	x	y	hitbox_x	hitbox_y	angle	speed	damage	gauge	option	type	animation	sound	spawn_callback	update_callback	draw_callback	collision_callback
ply00a.sht	0	104	5	0	0	0	18	48	-1.5707963705062866	16	48	-50	0	0	0	0	0	0	0	0
ply00a.sht	1	164	5	0	0	0	18	48	-1.5707963705062866	12	36	-40	0	0	0	0	0	0	0	0
ply00a.sht	1	220	15	0	0	0	18	18	-2.0943951606750488	10	14	-30	0	1	2	-1	0	1	0	0
ply00a.sht	1	276	15	0	0	0	18	18	-1.0471975803375244	10	14	-30	0	1	2	-1	0	1	0	0
ply00a.sht	2	336	5	0	0	0	18	48	-1.5707963705062866	12	30	-40	0	0	0	0	0	0	0	0
ply00a.sht	2	392	15	0	0	0	18	18	-2.0943951606750488	10	14	-30	0	1	2	-1	0	1	0	0
ply00a.sht	2	448	15	0	0	0	18	18	-1.0471975803375244	10	14	-30	0	1	2	-1	0	1	0	0
ply00a.sht	3	508	5	0	4	0	18	48	-1.4311699867248535	12	22	-30	0	0	0	0	0	0	0	0
ply00a.sht	3	564	5	0	0	0	18	48	-1.5707963705062866	12	32	-40	0	0	0	-1	0	0	0	0
ply00a.sht	3	620	5	0	-4	0	18	48	-1.7104226350784302	12	22	-30	0	0	0	-1	0	0	0	0
ply00a.sht	3	676	10	0	0	0	18	18	-2.0943951606750488	10	13	-20	0	1	2	-1	0	1	0	0
ply00a.sht	3	732	10	0	0	0	18	18	-1.0471975803375244	10	13	-20	0	1	2	-1	0	1	0	0
ply00a.sht	4	792	5	0	4	0	18	48	-1.4311699867248535	12	22	-30	0	0	0	0	0	0	0	0
ply00a.sht	4	848	5	0	0	0	18	48	-1.5707963705062866	12	32	-40	0	0	0	-1	0	0	0	0
ply00a.sht	4	904	5	0	-4	0	18	48	-1.7104226350784302	12	22	-30	0	0	0	-1	0	0	0	0
ply00a.sht	4	960	5	0	0	0	18	18	-2.0943951606750488	10	12	-20	0	1	2	-1	0	1	0	0
ply00a.sht	4	1016	5	0	0	0	18	18	-1.0471975803375244	10	12	-20	0	1	2	-1	0	1	0	0
ply00a.sht	5	1076	5	0	4	0	18	48	-1.4311699867248535	12	22	-30	0	0	0	0	0	0	0	0
ply00a.sht	5	1132	5	0	0	0	18	48	-1.5707963705062866	12	32	-40	0	0	0	-1	0	0	0	0
ply00a.sht	5	1188	5	0	-4	0	18	48	-1.7104226350784302	12	22	-30	0	0	0	-1	0	0	0	0
ply00a.sht	5	1244	5	0	0	0	18	18	-2.0943951606750488	10	11	-20	0	1	2	-1	0	1	0	0
ply00a.sht	5	1300	5	0	0	0	18	18	-1.0471975803375244	10	11	-20	0	1	2	-1	0	1	0	0
ply00a.sht	5	1356	10	0	0	0	18	18	-2.3561944961547852	10	10	-20	0	1	2	-1	0	1	0	0
ply00a.sht	5	1412	10	0	0	0	18	18	-0.78539818525314331	10	10	-20	0	1	2	-1	0	1	0	0
ply00as.sht	0	104	5	0	0	0	18	48	-1.5707963705062866	12	48	50	0	0	4	0	0	0	0	0
ply00as.sht	0	160	5	0	0	0	18	18	-1.5707963705062866	10	24	30	1	1	6	-1	1	0	0	0
ply00as.sht	1	220	5	0	0	0	18	48	-1.5707963705062866	12	48	50	0	0	4	0	0	0	0	0
ply00as.sht	1	276	5	0	0	0	18	18	-1.5707963705062866	10	24	30	1	1	6	-1	1	0	0	0
ply00as.sht	2	336	5	0	-8	0	18	48	-1.5707963705062866	12	30	25	0	0	4	0	0	0	0	0
ply00as.sht	2	392	5	0	8	0	18	48	-1.5707963705062866	12	30	25	0	0	4	-1	0	0	0	0
ply00as.sht	2	448	5	0	0	0	18	18	-1.5707963705062866	10	24	30	1	1	6	-1	1	0	0	0
ply00as.sht	3	508	5	0	-8	0	18	48	-1.5707963705062866	12	30	25	0	0	4	0	0	0	0	0
ply00as.sht	3	564	5	0	8	0	18	48	-1.5707963705062866	12	30	25	0	0	4	-1	0	0	0	0
ply00as.sht	3	620	5	0	0	0	18	18	-1.535889744758606	10	19	15	1	1	6	-1	1	0	0	0
ply00as.sht	3	676	5	0	0	0	18	18	-1.6057028770446777	10	19	15	1	1	6	-1	1	0	0	0
ply00as.sht	4	736	5	0	-16	0	18	48	-1.5707963705062866	12	22	20	0	0	4	0	0	0	0	0
ply00as.sht	4	792	5	0	0	0	18	48	-1.5707963705062866	12	24	20	0	0	4	-1	0	0	0	0
ply00as.sht	4	848	5	0	16	0	18	48	-1.5707963705062866	12	22	20	0	0	4	-1	0	0	0	0
ply00as.sht	4	904	5	0	0	0	18	18	-1.535889744758606	10	19	15	1	1	6	-1	1	0	0	0
ply00as.sht	4	960	5	0	0	0	18	18	-1.6057028770446777	10	19	15	1	1	6	-1	1	0	0	0
ply00as.sht	5	1020	5	0	-24	0	18	48	-1.5707963705062866	12	20	20	0	0	4	0	0	0	0	0
ply00as.sht	5	1076	5	0	-8	0	18	48	-1.5184364318847656	12	22	20	0	0	4	-1	0	0	0	0
ply00as.sht	5	1132	5	0	8	0	18	48	-1.6231561899185181	12	22	20	0	0	4	-1	0	0	0	0
ply00as.sht	5	1188	5	0	24	0	18	48	-1.5707963705062866	12	20	20	0	0	4	-1	0	0	0	0
ply00as.sht	5	1244	5	0	0	0	18	18	-1.5009831190109253	10	12	10	1	1	6	-1	1	0	0	0
ply00as.sht	5	1300	5	0	0	0	18	18	-1.5707963705062866	10	20	15	1	1	6	-1	1	0	0	0
ply00as.sht	5	1356	5	0	0	0	18	18	-1.6406095027923584	10	12	10	1	1	6	-1	1	0	0	0
ply01a.sht	0	104	5	0	0	0	18	48	-1.5707963705062866	24	48	-50	0	0	0	0	3	0	0	0
ply01a.sht	1	164	5	0	0	0	18	48	-1.5707963705062866	24	36	-60	0	0	0	0	3	0	0	0
