file	timeline	start	mask	status	frames	pc	offset	opcode	time	fraction	pending_token
ecldata1.ecl	0	39960	1	REQUIRES_CONTEXT	1	0	39960	0	1	0	0
ecldata1.ecl	0	39960	2	REQUIRES_CONTEXT	1	0	39960	0	1	0	0
ecldata1.ecl	0	39960	4	REQUIRES_CONTEXT	1	0	39960	0	1	0	0
ecldata1.ecl	0	39960	8	REQUIRES_CONTEXT	1	0	39960	0	1	0	0
ecldata1.ecl	0	39960	16	REQUIRES_CONTEXT	1	0	39960	0	1	0	0
ecldata1.ecl	1	44312	1	REQUIRES_CONTEXT	20	0	44312	13	20	0	0
ecldata1.ecl	1	44312	2	REQUIRES_CONTEXT	20	0	44312	13	20	0	0
ecldata1.ecl	1	44312	4	REQUIRES_CONTEXT	20	0	44312	13	20	0	0
ecldata1.ecl	1	44312	8	REQUIRES_CONTEXT	20	0	44312	13	20	0	0
ecldata1.ecl	1	44312	16	REQUIRES_CONTEXT	20	0	44312	13	20	0	0
ecldata1sp.ecl	0	39684	1	REQUIRES_CONTEXT	1	0	39684	0	1	0	0
ecldata1sp.ecl	0	39684	2	REQUIRES_CONTEXT	1	0	39684	0	1	0	0
ecldata1sp.ecl	0	39684	4	REQUIRES_CONTEXT	1	0	39684	0	1	0	0
ecldata1sp.ecl	0	39684	8	REQUIRES_CONTEXT	1	0	39684	0	1	0	0
ecldata1sp.ecl	0	39684	16	REQUIRES_CONTEXT	1	0	39684	0	1	0	0
ecldata2.ecl	0	41332	1	REQUIRES_CONTEXT	1	0	41332	0	1	0	0
ecldata2.ecl	0	41332	2	REQUIRES_CONTEXT	1	0	41332	0	1	0	0
ecldata2.ecl	0	41332	4	REQUIRES_CONTEXT	1	0	41332	0	1	0	0
ecldata2.ecl	0	41332	8	REQUIRES_CONTEXT	1	0	41332	0	1	0	0
ecldata2.ecl	0	41332	16	REQUIRES_CONTEXT	1	0	41332	0	1	0	0
ecldata2.ecl	1	49356	1	REQUIRES_CONTEXT	20	0	49356	13	20	0	0
ecldata2.ecl	1	49356	2	REQUIRES_CONTEXT	20	0	49356	13	20	0	0
ecldata2.ecl	1	49356	4	REQUIRES_CONTEXT	20	0	49356	13	20	0	0
ecldata2.ecl	1	49356	8	REQUIRES_CONTEXT	20	0	49356	13	20	0	0
ecldata2.ecl	1	49356	16	REQUIRES_CONTEXT	20	0	49356	13	20	0	0
ecldata2sp.ecl	0	37388	1	REQUIRES_CONTEXT	1	0	37388	0	1	0	0
ecldata2sp.ecl	0	37388	2	REQUIRES_CONTEXT	1	0	37388	0	1	0	0
ecldata2sp.ecl	0	37388	4	REQUIRES_CONTEXT	1	0	37388	0	1	0	0
ecldata2sp.ecl	0	37388	8	REQUIRES_CONTEXT	1	0	37388	0	1	0	0
ecldata2sp.ecl	0	37388	16	REQUIRES_CONTEXT	1	0	37388	0	1	0	0
ecldata3.ecl	0	45624	1	REQUIRES_CONTEXT	1	0	45624	0	1	0	0
ecldata3.ecl	0	45624	2	REQUIRES_CONTEXT	1	0	45624	0	1	0	0
ecldata3.ecl	0	45624	4	REQUIRES_CONTEXT	1	0	45624	0	1	0	0
ecldata3.ecl	0	45624	8	REQUIRES_CONTEXT	1	0	45624	0	1	0	0
ecldata3.ecl	0	45624	16	REQUIRES_CONTEXT	1	0	45624	0	1	0	0
ecldata3.ecl	1	47388	1	REQUIRES_CONTEXT	20	0	47388	13	20	0	0
ecldata3.ecl	1	47388	2	REQUIRES_CONTEXT	20	0	47388	13	20	0	0
ecldata3.ecl	1	47388	4	REQUIRES_CONTEXT	20	0	47388	13	20	0	0
ecldata3.ecl	1	47388	8	REQUIRES_CONTEXT	20	0	47388	13	20	0	0
ecldata3.ecl	1	47388	16	REQUIRES_CONTEXT	20	0	47388	13	20	0	0
ecldata3.ecl	2	47988	1	REQUIRES_CONTEXT	20	0	47988	13	20	0	0
ecldata3.ecl	2	47988	2	REQUIRES_CONTEXT	20	0	47988	13	20	0	0
ecldata3.ecl	2	47988	4	REQUIRES_CONTEXT	20	0	47988	13	20	0	0
ecldata3.ecl	2	47988	8	REQUIRES_CONTEXT	20	0	47988	13	20	0	0
ecldata3.ecl	2	47988	16	REQUIRES_CONTEXT	20	0	47988	13	20	0	0
ecldata3.ecl	3	49324	1	REQUIRES_CONTEXT	20	0	49324	13	20	0	0
ecldata3.ecl	3	49324	2	REQUIRES_CONTEXT	20	0	49324	13	20	0	0
ecldata3.ecl	3	49324	4	REQUIRES_CONTEXT	20	0	49324	13	20	0	0
ecldata3.ecl	3	49324	8	REQUIRES_CONTEXT	20	0	49324	13	20	0	0
ecldata3.ecl	3	49324	16	REQUIRES_CONTEXT	20	0	49324	13	20	0	0
ecldata3sp.ecl	0	41268	1	REQUIRES_CONTEXT	1	0	41268	0	1	0	0
ecldata3sp.ecl	0	41268	2	REQUIRES_CONTEXT	1	0	41268	0	1	0	0
ecldata3sp.ecl	0	41268	4	REQUIRES_CONTEXT	1	0	41268	0	1	0	0
ecldata3sp.ecl	0	41268	8	REQUIRES_CONTEXT	1	0	41268	0	1	0	0
ecldata3sp.ecl	0	41268	16	REQUIRES_CONTEXT	1	0	41268	0	1	0	0
ecldata4a.ecl	0	41652	1	REQUIRES_CONTEXT	1	0	41652	0	1	0	0
ecldata4a.ecl	0	41652	2	REQUIRES_CONTEXT	1	0	41652	0	1	0	0
ecldata4a.ecl	0	41652	4	REQUIRES_CONTEXT	1	0	41652	0	1	0	0
ecldata4a.ecl	0	41652	8	REQUIRES_CONTEXT	1	0	41652	0	1	0	0
ecldata4a.ecl	0	41652	16	REQUIRES_CONTEXT	1	0	41652	0	1	0	0
ecldata4a.ecl	1	47868	1	REQUIRES_CONTEXT	20	0	47868	13	20	0	0
